"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme01250","Metabolism","Global and overview maps","dme01250","Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)","2/157","30/3549",0.38577778512791,0.38577778512791,0.791339046416226,"43373/44010",2
"dme00071","Metabolism","Lipid metabolism","dme00071","Fatty acid degradation - Drosophila melanogaster (fruit fly)","2/157","33/3549",0.432840896017174,0.432840896017174,0.84456760198473,"43244/37446",2
"dme00630","Metabolism","Carbohydrate metabolism","dme00630","Glyoxylate and dicarboxylate metabolism - Drosophila melanogaster (fruit fly)","2/157","33/3549",0.432840896017174,0.432840896017174,0.84456760198473,"40348/39985",2
"dme00592","Metabolism","Lipid metabolism","dme00592","alpha-Linolenic acid metabolism - Drosophila melanogaster (fruit fly)","1/157","13/3549",0.445240024909354,0.445240024909354,0.848076237922579,"37446",1
"dme00650","Metabolism","Carbohydrate metabolism","dme00650","Butanoate metabolism - Drosophila melanogaster (fruit fly)","1/157","15/3549",0.493416217367525,0.493416217367525,0.875019272236143,"38484",1
"dme04711","Organismal Systems","Environmental adaptation","dme04711","Circadian rhythm - fly - Drosophila melanogaster (fruit fly)","1/157","15/3549",0.493416217367525,0.493416217367525,0.875019272236143,"44669",1
"dme04070","Environmental Information Processing","Signal transduction","dme04070","Phosphatidylinositol signaling system - Drosophila melanogaster (fruit fly)","3/157","61/3549",0.511307976686317,0.511307976686317,0.875019272236143,"48311/31826/3885565",3
"dme00062","Metabolism","Lipid metabolism","dme00062","Fatty acid elongation - Drosophila melanogaster (fruit fly)","1/157","16/3549",0.515921495769704,0.515921495769704,0.875019272236143,"39860",1
"dme04392","Environmental Information Processing","Signal transduction","dme04392","Hippo signaling pathway - multiple species - Drosophila melanogaster (fruit fly)","1/157","16/3549",0.515921495769704,0.515921495769704,0.875019272236143,"44039",1
"dme04120","Genetic Information Processing","Folding, sorting and degradation","dme04120","Ubiquitin mediated proteolysis - Drosophila melanogaster (fruit fly)","5/157","108/3549",0.525011563341685,0.525011563341685,0.875019272236143,"36129/43611/37876/3885654/35742",5
"dme04814","Cellular Processes","Cell motility","dme04814","Motor proteins - Drosophila melanogaster (fruit fly)","5/157","112/3549",0.557990999942777,0.557990999942777,0.911005714192289,"40848/35007/34262/39537/44870",5
"dme03083","Genetic Information Processing","Chromosome","dme03083","Polycomb repressive complex - Drosophila melanogaster (fruit fly)","3/157","67/3549",0.575665834380946,0.575665834380946,0.91345737166829,"37909/35555/43819",3
"dme00380","Metabolism","Amino acid metabolism","dme00380","Tryptophan metabolism - Drosophila melanogaster (fruit fly)","1/157","21/3549",0.614386184727071,0.614386184727071,0.91345737166829,"43244",1
"dme00520","Metabolism","Carbohydrate metabolism","dme00520","Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)","2/157","48/3549",0.634727224838736,0.634727224838736,0.91345737166829,"43373/44010",2
"dme03440","Genetic Information Processing","Replication and repair","dme03440","Homologous recombination - Drosophila melanogaster (fruit fly)","1/157","23/3549",0.647947686905212,0.647947686905212,0.91345737166829,"31044",1
"dme00030","Metabolism","Carbohydrate metabolism","dme00030","Pentose phosphate pathway - Drosophila melanogaster (fruit fly)","1/157","24/3549",0.663623300392416,0.663623300392416,0.91345737166829,"44010",1
"dme00330","Metabolism","Amino acid metabolism","dme00330","Arginine and proline metabolism - Drosophila melanogaster (fruit fly)","2/157","53/3549",0.688364845638973,0.688364845638973,0.91345737166829,"40443/43244",2
"dme01212","Metabolism","Global and overview maps","dme01212","Fatty acid metabolism - Drosophila melanogaster (fruit fly)","2/157","53/3549",0.688364845638973,0.688364845638973,0.91345737166829,"39860/37446",2
"dme03460","Genetic Information Processing","Replication and repair","dme03460","Fanconi anemia pathway - Drosophila melanogaster (fruit fly)","1/157","26/3549",0.692923852597775,0.692923852597775,0.91345737166829,"31044",1
"dme00981","Metabolism","Metabolism of terpenoids and polyketides","dme00981","Insect hormone biosynthesis - Drosophila melanogaster (fruit fly)","1/157","27/3549",0.706608483634434,0.706608483634434,0.91345737166829,"43244",1
"dme04141","Genetic Information Processing","Folding, sorting and degradation","dme04141","Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)","5/157","135/3549",0.722348693328057,0.722348693328057,0.91345737166829,"44679/35480/36025/35742/32256",5
"dme03018","Genetic Information Processing","Folding, sorting and degradation","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","2/157","58/3549",0.73540411908015,0.73540411908015,0.91345737166829,"32574/5740252",2
"dme00280","Metabolism","Amino acid metabolism","dme00280","Valine, leucine and isoleucine degradation - Drosophila melanogaster (fruit fly)","1/157","32/3549",0.766456086089732,0.766456086089732,0.91345737166829,"43244",1
"dme00500","Metabolism","Carbohydrate metabolism","dme00500","Starch and sucrose metabolism - Drosophila melanogaster (fruit fly)","1/157","32/3549",0.766456086089732,0.766456086089732,0.91345737166829,"44010",1
"dme04140","Cellular Processes","Transport and catabolism","dme04140","Autophagy - animal - Drosophila melanogaster (fruit fly)","4/157","118/3549",0.775691008393661,0.775691008393661,0.91345737166829,"41140/39522/38654/31803",4
"dme04146","Cellular Processes","Transport and catabolism","dme04146","Peroxisome - Drosophila melanogaster (fruit fly)","3/157","91/3549",0.775985700328432,0.775985700328432,0.91345737166829,"5740152/36128/37446",3
"dme00970","Genetic Information Processing","Translation","dme00970","Aminoacyl-tRNA biosynthesis - Drosophila melanogaster (fruit fly)","2/157","64/3549",0.783790351494403,0.783790351494403,0.91345737166829,"41733/37177",2
"dme01200","Metabolism","Global and overview maps","dme01200","Carbon metabolism - Drosophila melanogaster (fruit fly)","4/157","121/3549",0.792344088134613,0.792344088134613,0.91345737166829,"40348/39985/39555/37446",4
"dme00052","Metabolism","Carbohydrate metabolism","dme00052","Galactose metabolism - Drosophila melanogaster (fruit fly)","1/157","35/3549",0.796365216535561,0.796365216535561,0.91345737166829,"44010",1
"dme00053","Metabolism","Carbohydrate metabolism","dme00053","Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)","1/157","35/3549",0.796365216535561,0.796365216535561,0.91345737166829,"43244",1
"dme00270","Metabolism","Amino acid metabolism","dme00270","Cysteine and methionine metabolism - Drosophila melanogaster (fruit fly)","1/157","37/3549",0.814157367122908,0.814157367122908,0.91345737166829,"45880",1
"dme02010","Environmental Information Processing","Membrane transport","dme02010","ABC transporters - Drosophila melanogaster (fruit fly)","1/157","38/3549",0.822465252476468,0.822465252476468,0.91345737166829,"33170",1
"dme00790","Metabolism","Metabolism of cofactors and vitamins","dme00790","Folate biosynthesis - Drosophila melanogaster (fruit fly)","1/157","40/3549",0.837989921432986,0.837989921432986,0.91345737166829,"317887",1
"dme01240","Metabolism","Global and overview maps","dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","4/157","138/3549",0.86887619038087,0.86887619038087,0.91345737166829,"42295/43244/42051/317887",4
"dme00562","Metabolism","Carbohydrate metabolism","dme00562","Inositol phosphate metabolism - Drosophila melanogaster (fruit fly)","1/157","45/3549",0.87114916969152,0.87114916969152,0.91345737166829,"3885565",1
"dme00480","Metabolism","Metabolism of other amino acids","dme00480","Glutathione metabolism - Drosophila melanogaster (fruit fly)","2/157","79/3549",0.872374848564594,0.872374848564594,0.91345737166829,"44110/326187",2
"dme03082","Genetic Information Processing","Chromosome","dme03082","ATP-dependent chromatin remodeling - Drosophila melanogaster (fruit fly)","2/157","82/3549",0.885519708754978,0.885519708754978,0.91345737166829,"36241/43819",2
"dme04624","Organismal Systems","Immune system","dme04624","Toll and Imd signaling pathway - Drosophila melanogaster (fruit fly)","2/157","83/3549",0.88961705139554,0.88961705139554,0.91345737166829,"32256/49802",2
"dme00190","Metabolism","Energy metabolism","dme00190","Oxidative phosphorylation - Drosophila melanogaster (fruit fly)","4/157","146/3549",0.895659333001343,0.895659333001343,0.91345737166829,"32249/44307/40679/31235",4
"dme03050","Genetic Information Processing","Folding, sorting and degradation","dme03050","Proteasome - Drosophila melanogaster (fruit fly)","1/157","53/3549",0.910739952356931,0.910739952356931,0.91345737166829,"33451",1
"dme01232","Metabolism","Global and overview maps","dme01232","Nucleotide metabolism - Drosophila melanogaster (fruit fly)","1/157","60/3549",0.935308196219723,0.935308196219723,0.91345737166829,"42051",1
"dme00982","Metabolism","Xenobiotics biodegradation and metabolism","dme00982","Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)","1/157","66/3549",0.950933471929783,0.950933471929783,0.91345737166829,"44110",1
"dme00980","Metabolism","Xenobiotics biodegradation and metabolism","dme00980","Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)","1/157","68/3549",0.955257836363632,0.955257836363632,0.91345737166829,"44110",1
"dme01230","Metabolism","Global and overview maps","dme01230","Biosynthesis of amino acids - Drosophila melanogaster (fruit fly)","1/157","68/3549",0.955257836363632,0.955257836363632,0.91345737166829,"40443",1
"dme03040","Genetic Information Processing","Transcription","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","3/157","144/3549",0.958944424469128,0.958944424469128,0.91345737166829,"47457/31840/36304",3
"dme04142","Cellular Processes","Transport and catabolism","dme04142","Lysosome - Drosophila melanogaster (fruit fly)","2/157","124/3549",0.977014606081901,0.977014606081901,0.91345737166829,"35405/44307",2
"dme04144","Cellular Processes","Transport and catabolism","dme04144","Endocytosis - Drosophila melanogaster (fruit fly)","2/157","125/3549",0.977911010832156,0.977911010832156,0.91345737166829,"35425/3885565",2
"dme00983","Metabolism","Xenobiotics biodegradation and metabolism","dme00983","Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)","1/157","94/3549",0.986582426170722,0.986582426170722,0.91345737166829,"44110",1
"dme03008","Genetic Information Processing","Translation","dme03008","Ribosome biogenesis in eukaryotes - Drosophila melanogaster (fruit fly)","3/157","194/3549",0.993384891689266,0.993384891689266,0.91345737166829,"317878/37909/37769",3
