"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04512","Environmental Information Processing","Signaling molecules and interaction","dme04512","ECM-receptor interaction - Drosophila melanogaster (fruit fly)","5/602","11/3549",0.0261130454041019,0.0261130454041019,0.242389033894534,"38723/36773/31612/33727/44885",5
"dme04711","Organismal Systems","Environmental adaptation","dme04711","Circadian rhythm - fly - Drosophila melanogaster (fruit fly)","6/602","15/3549",0.0293791063272962,0.0293791063272962,0.243373225188516,"44669/31251/31363/39167/33571/41883",6
"dme04814","Cellular Processes","Cell motility","dme04814","Motor proteins - Drosophila melanogaster (fruit fly)","27/602","112/3549",0.0313847710374409,0.0313847710374409,0.243373225188516,"31405/34012/40848/32314/33319/39537/31521/37888/31240/35007/39332/53515/43310/34073/35680/32049/38515/38611/34882/46074/35526/37374/34873/42889/41852/2768680/35709",27
"dme04120","Genetic Information Processing","Folding, sorting and degradation","dme04120","Ubiquitin mediated proteolysis - Drosophila melanogaster (fruit fly)","26/602","108/3549",0.0348203585842482,0.0348203585842482,0.243373225188516,"36129/38961/5740853/42435/38456/39035/41785/31214/43434/42504/40610/33932/44118/35420/44496/34968/42062/33901/39958/31746/32751/32510/38591/39885/3885654/31564",26
"dme04068","Environmental Information Processing","Signal transduction","dme04068","FoxO signaling pathway - Drosophila melanogaster (fruit fly)","17/602","65/3549",0.0391094172039985,0.0391094172039985,0.243373225188516,"35900/3354888/31220/41957/33010/42515/39319/40384/42971/37455/38017/37131/38890/33944/39151/41140/39149",17
"dme04392","Environmental Information Processing","Signal transduction","dme04392","Hippo signaling pathway - multiple species - Drosophila melanogaster (fruit fly)","6/602","16/3549",0.0404568797417636,0.0404568797417636,0.243373225188516,"42734/33218/41783/43651/32536/37247",6
"dme04144","Cellular Processes","Transport and catabolism","dme04144","Endocytosis - Drosophila melanogaster (fruit fly)","29/602","125/3549",0.0421767842922118,0.0421767842922118,0.243373225188516,"32850/35900/38961/33418/35425/32752/39564/42160/3885565/48973/32703/39735/36311/53554/37455/40542/42509/33444/39958/31746/37218/37536/33211/38204/34803/43223/43164/40327/42642",29
"dme04150","Environmental Information Processing","Signal transduction","dme04150","mTOR signaling pathway - Drosophila melanogaster (fruit fly)","24/602","100/3549",0.0429039396981817,0.0429039396981817,0.243373225188516,"35762/3354888/39858/326255/31220/39625/41957/41550/33139/40201/35790/44437/48311/43265/36826/38017/45012/40090/34009/40679/39151/41140/39149/34997",24
"dme04137","Cellular Processes","Transport and catabolism","dme04137","Mitophagy - animal - Drosophila melanogaster (fruit fly)","20/602","81/3549",0.0469719304995359,0.0469719304995359,0.252425332878392,"36578/40653/32132/48448/43580/33418/36675/38456/48973/46038/42509/34368/44978/32510/31519/39885/41152/32796/31564/41140",20
"dme00534","Metabolism","Glycan biosynthesis and metabolism","dme00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Drosophila melanogaster (fruit fly)","5/602","13/3549",0.0543104722803855,0.0543104722803855,0.275518144482562,"36614/32918/38288/3772101/35569",5
"dme00564","Metabolism","Lipid metabolism","dme00564","Glycerophospholipid metabolism - Drosophila melanogaster (fruit fly)","16/602","63/3549",0.056665845179661,0.056665845179661,0.275518144482562,"31747/41625/32230/326259/42836/32585/35387/35790/39160/59176/33824/34716/31826/40471/35417/34776",16
"dme04070","Environmental Information Processing","Signal transduction","dme04070","Phosphatidylinositol signaling system - Drosophila melanogaster (fruit fly)","15/602","61/3549",0.0808682196091481,0.0808682196091481,0.37532140201375,"39329/33137/37517/42836/33845/3885565/31157/43118/48311/246577/31826/36329/40664/40670/45374",15
"dme00030","Metabolism","Carbohydrate metabolism","dme00030","Pentose phosphate pathway - Drosophila melanogaster (fruit fly)","7/602","24/3549",0.0975291710561476,0.0975291710561476,0.432967029402578,"35692/36060/40875/35923/33431/39132/31185",7
"dme04310","Environmental Information Processing","Signal transduction","dme04310","Wnt signaling pathway - Drosophila melanogaster (fruit fly)","24/602","110/3549",0.107987933432348,0.107987933432348,0.45389787141986,"43828/33212/32132/48448/31151/40651/42504/35207/41602/53439/44355/32624/43670/48311/43769/40090/34009/46456/35922/42871/8674098/43565/38890/39885",24
"dme00510","Metabolism","Glycan biosynthesis and metabolism","dme00510","N-Glycan biosynthesis - Drosophila melanogaster (fruit fly)","10/602","39/3549",0.111134788105378,0.111134788105378,0.45389787141986,"2768916/38374/34137/39608/32073/49953/318981/8674033/3885575/43563",10
"dme00563","Metabolism","Glycan biosynthesis and metabolism","dme00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Drosophila melanogaster (fruit fly)","7/602","25/3549",0.116645273988638,0.116645273988638,0.458080630643639,"31487/19835383/31772/31517/8674033/40139/19835548",7
"dme00230","Metabolism","Nucleotide metabolism","dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","20/602","92/3549",0.13736825166259,0.13736825166259,0.515281464856274,"44750/33924/31309/35419/33495/38315/32822/43682/43739/53432/34689/35923/31194/39132/42973/40180/32352/32233/34553/41825",20
"dme00600","Metabolism","Lipid metabolism","dme00600","Sphingolipid metabolism - Drosophila melanogaster (fruit fly)","8/602","31/3549",0.14130398933172,0.14130398933172,0.515281464856274,"34835/37516/37884/41457/40640/326219/40471/38396",8
"dme04145","Cellular Processes","Transport and catabolism","dme04145","Phagosome - Drosophila melanogaster (fruit fly)","18/602","83/3549",0.15547653639353,0.15547653639353,0.54741285045998,"40848/38521/33418/41550/31521/37888/46080/43442/36826/45012/44643/44885/40679/35526/40741/32620/31342/34997",18
"dme03018","Genetic Information Processing","Folding, sorting and degradation","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","13/602","58/3549",0.172347179777635,0.172347179777635,0.586585138190546,"32665/39957/36060/34541/33351/37070/32935/37372/42813/32574/33796/42900/36583",13
"dme04140","Cellular Processes","Transport and catabolism","dme04140","Autophagy - animal - Drosophila melanogaster (fruit fly)","24/602","118/3549",0.190538046801841,0.190538046801841,0.627578626138491,"40998/326174/3354888/40653/43580/38456/41957/40700/33819/3355130/40201/32947/117294/38017/42095/31746/37218/40664/40741/39151/34735/31564/41140/39149",24
"dme00250","Metabolism","Amino acid metabolism","dme00250","Alanine, aspartate and glutamate metabolism - Drosophila melanogaster (fruit fly)","7/602","29/3549",0.209800499740761,0.209800499740761,0.669429226146506,"33172/40434/36396/38484/3354921/2768965/43373",7
"dme03060","Genetic Information Processing","Folding, sorting and degradation","dme03060","Protein export - Drosophila melanogaster (fruit fly)","6/602","30/3549",0.400561997243223,0.400561997243223,0.880217785759922,"39028/38844/46080/35690/40815/32095",6
"dme00565","Metabolism","Lipid metabolism","dme00565","Ether lipid metabolism - Drosophila melanogaster (fruit fly)","5/602","25/3549",0.422133395535306,0.422133395535306,0.880217785759922,"31747/326259/35387/39160/40471",5
"dme00770","Metabolism","Metabolism of cofactors and vitamins","dme00770","Pantothenate and CoA biosynthesis - Drosophila melanogaster (fruit fly)","3/602","14/3549",0.432697050456888,0.432697050456888,0.880217785759922,"32297/46234/34256",3
"dme04141","Genetic Information Processing","Folding, sorting and degradation","dme04141","Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)","24/602","135/3549",0.434973060818701,0.434973060818701,0.880217785759922,"40653/43091/2768916/40055/34714/41785/34137/33409/35056/46080/44437/32073/39768/40459/39557/32256/49953/44643/38096/32977/42005/32620/44679/41646",24
"dme04213","Organismal Systems","Aging","dme04213","Longevity regulating pathway - multiple species - Drosophila melanogaster (fruit fly)","10/602","55/3549",0.459918175511248,0.459918175511248,0.880217785759922,"31220/41957/35419/42515/53432/34689/40180/39151/41140/39149",10
"dme04130","Genetic Information Processing","Folding, sorting and degradation","dme04130","SNARE interactions in vesicular transport - Drosophila melanogaster (fruit fly)","4/602","21/3549",0.488101796778842,0.488101796778842,0.880217785759922,"38085/38196/40373/248102",4
"dme00562","Metabolism","Carbohydrate metabolism","dme00562","Inositol phosphate metabolism - Drosophila melanogaster (fruit fly)","8/602","45/3549",0.503771103805827,0.503771103805827,0.880217785759922,"39329/37517/33845/3885565/31157/32629/40670/45374",8
"dme04341","Environmental Information Processing","Signal transduction","dme04341","Hedgehog signaling pathway - fly - Drosophila melanogaster (fruit fly)","7/602","40/3549",0.529631638367359,0.529631638367359,0.880217785759922,"40651/36240/42504/42737/43767/44274/41704",7
"dme00310","Metabolism","Amino acid metabolism","dme00310","Lysine degradation - Drosophila melanogaster (fruit fly)","6/602","35/3549",0.559083938782044,0.559083938782044,0.880217785759922,"39265/34256/41737/35309/40793/41483",6
"dme00561","Metabolism","Lipid metabolism","dme00561","Glycerolipid metabolism - Drosophila melanogaster (fruit fly)","7/602","42/3549",0.585031236847351,0.585031236847351,0.880217785759922,"32230/42836/35790/33431/34256/31826/40471",7
"dme01250","Metabolism","Global and overview maps","dme01250","Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)","5/602","30/3549",0.593293507825056,0.593293507825056,0.880217785759922,"33903/35923/43504/3354921/43373",5
"dme03410","Genetic Information Processing","Replication and repair","dme03410","Base excision repair - Drosophila melanogaster (fruit fly)","5/602","30/3549",0.593293507825056,0.593293507825056,0.880217785759922,"43796/35365/42322/117294/3355109",5
"dme03083","Genetic Information Processing","Chromosome","dme03083","Polycomb repressive complex - Drosophila melanogaster (fruit fly)","11/602","67/3549",0.599142194315758,0.599142194315758,0.880217785759922,"37024/32132/40358/41785/43819/43788/42696/37601/41168/41090/39103",11
"dme00010","Metabolism","Carbohydrate metabolism","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","9/602","55/3549",0.60400339520975,0.60400339520975,0.880217785759922,"39555/40348/36060/33351/35923/34256/42621/37131/33459",9
"dme03015","Genetic Information Processing","Translation","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","13/602","80/3549",0.61527464093075,0.61527464093075,0.880217785759922,"37493/32973/39919/47877/34658/42922/37070/3354919/317878/43087/43312/34286/33968",13
"dme00670","Metabolism","Metabolism of cofactors and vitamins","dme00670","One carbon pool by folate - Drosophila melanogaster (fruit fly)","2/602","12/3549",0.629512526757051,0.629512526757051,0.880217785759922,"41279/42973",2
"dme04142","Cellular Processes","Transport and catabolism","dme04142","Lysosome - Drosophila melanogaster (fruit fly)","20/602","124/3549",0.637388336908339,0.637388336908339,0.880217785759922,"326174/32987/41150/34211/31647/42835/39137/31155/37877/43442/37884/41457/46386/42095/3885599/43223/38022/40741/31342/34997",20
"dme00240","Metabolism","Nucleotide metabolism","dme00240","Pyrimidine metabolism - Drosophila melanogaster (fruit fly)","6/602","38/3549",0.644125973297736,0.644125973297736,0.880217785759922,"33924/42894/43240/33495/32822/43739",6
"dme03082","Genetic Information Processing","Chromosome","dme03082","ATP-dependent chromatin remodeling - Drosophila melanogaster (fruit fly)","13/602","82/3549",0.652769158990707,0.652769158990707,0.880217785759922,"50403/41151/36956/43460/32769/43819/42130/31521/53439/36390/35526/40170/43229",13
"dme00513","Metabolism","Glycan biosynthesis and metabolism","dme00513","Various types of N-glycan biosynthesis - Drosophila melanogaster (fruit fly)","5/602","32/3549",0.65340828715672,0.65340828715672,0.880217785759922,"2768916/38374/34137/39608/43563",5
"dme03460","Genetic Information Processing","Replication and repair","dme03460","Fanconi anemia pathway - Drosophila melanogaster (fruit fly)","4/602","26/3549",0.666089208337379,0.666089208337379,0.880217785759922,"40438/35895/31565/36654",4
"dme00061","Metabolism","Lipid metabolism","dme00061","Fatty acid biosynthesis - Drosophila melanogaster (fruit fly)","2/602","13/3549",0.674273237086186,0.674273237086186,0.880217785759922,"3355111/33524",2
"dme00592","Metabolism","Lipid metabolism","dme00592","alpha-Linolenic acid metabolism - Drosophila melanogaster (fruit fly)","2/602","13/3549",0.674273237086186,0.674273237086186,0.880217785759922,"31747/39160",2
"dme03022","Genetic Information Processing","Transcription","dme03022","Basal transcription factors - Drosophila melanogaster (fruit fly)","6/602","40/3549",0.694970105083806,0.694970105083806,0.880217785759922,"34430/7354403/39688/39313/42750/39765",6
"dme04350","Environmental Information Processing","Signal transduction","dme04350","TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)","7/602","47/3549",0.70753925028018,0.70753925028018,0.880217785759922,"35900/3354888/44096/36382/31027/34435/5740414",7
"dme01232","Metabolism","Global and overview maps","dme01232","Nucleotide metabolism - Drosophila melanogaster (fruit fly)","9/602","60/3549",0.710978419942909,0.710978419942909,0.880217785759922,"44750/33924/42894/43240/33495/38315/32822/43739/32352",9
"dme00052","Metabolism","Carbohydrate metabolism","dme00052","Galactose metabolism - Drosophila melanogaster (fruit fly)","5/602","35/3549",0.732290061185941,0.732290061185941,0.880217785759922,"36060/35923/34597/41457/42220",5
"dme01230","Metabolism","Global and overview maps","dme01230","Biosynthesis of amino acids - Drosophila melanogaster (fruit fly)","10/602","68/3549",0.740061995290376,0.740061995290376,0.880217785759922,"32297/33172/35692/36060/33351/33081/39132/2768965/42621/33459",10
"dme00350","Metabolism","Amino acid metabolism","dme00350","Tyrosine metabolism - Drosophila melanogaster (fruit fly)","3/602","22/3549",0.747365422789162,0.747365422789162,0.880217785759922,"41133/31718/246620",3
"dme00620","Metabolism","Carbohydrate metabolism","dme00620","Pyruvate metabolism - Drosophila melanogaster (fruit fly)","7/602","49/3549",0.749164629336693,0.749164629336693,0.880217785759922,"3772542/40348/43936/39281/34256/42621/37131",7
"dme00531","Metabolism","Glycan biosynthesis and metabolism","dme00531","Glycosaminoglycan degradation - Drosophila melanogaster (fruit fly)","2/602","15/3549",0.750536244974871,0.750536244974871,0.880217785759922,"41457/46386",2
"dme00590","Metabolism","Lipid metabolism","dme00590","Arachidonic acid metabolism - Drosophila melanogaster (fruit fly)","2/602","15/3549",0.750536244974871,0.750536244974871,0.880217785759922,"31747/39160",2
"dme04624","Organismal Systems","Immune system","dme04624","Toll and Imd signaling pathway - Drosophila melanogaster (fruit fly)","12/602","83/3549",0.773343898984101,0.773343898984101,0.880217785759922,"34969/35956/41785/42504/45908/32256/42032/37468/50209/39062/43770/37978",12
"dme04215","Cellular Processes","Cell growth and death","dme04215","Apoptosis - multiple species - Drosophila melanogaster (fruit fly)","3/602","23/3549",0.774804055282523,0.774804055282523,0.880217785759922,"37729/36251/34996",3
"dme02010","Environmental Information Processing","Membrane transport","dme02010","ABC transporters - Drosophila melanogaster (fruit fly)","5/602","38/3549",0.797288859737728,0.797288859737728,0.880217785759922,"34140/33541/33540/42362/43772",5
"dme00480","Metabolism","Metabolism of other amino acids","dme00480","Glutathione metabolism - Drosophila melanogaster (fruit fly)","11/602","79/3549",0.808506695493739,0.808506695493739,0.880217785759922,"43444/42557/32216/41503/48337/326187/48338/42801/43463/37106/31185",11
"dme00280","Metabolism","Amino acid metabolism","dme00280","Valine, leucine and isoleucine degradation - Drosophila melanogaster (fruit fly)","4/602","32/3549",0.81713426481053,0.81713426481053,0.880217785759922,"32297/41869/34256/34313",4
"dme00500","Metabolism","Carbohydrate metabolism","dme00500","Starch and sucrose metabolism - Drosophila melanogaster (fruit fly)","4/602","32/3549",0.81713426481053,0.81713426481053,0.880217785759922,"35923/34597/34017/42220",4
"dme00410","Metabolism","Metabolism of other amino acids","dme00410","beta-Alanine metabolism - Drosophila melanogaster (fruit fly)","3/602","25/3549",0.822340603784963,0.822340603784963,0.880217785759922,"41869/38484/34256",3
"dme00071","Metabolism","Lipid metabolism","dme00071","Fatty acid degradation - Drosophila melanogaster (fruit fly)","4/602","33/3549",0.835877360072812,0.835877360072812,0.880217785759922,"36109/34316/34256/34313",4
"dme00630","Metabolism","Carbohydrate metabolism","dme00630","Glyoxylate and dicarboxylate metabolism - Drosophila melanogaster (fruit fly)","4/602","33/3549",0.835877360072812,0.835877360072812,0.880217785759922,"40348/33172/39985/33431",4
"dme03250","Genetic Information Processing","Information processing in viruses","dme03250","Viral life cycle - HIV-1 - Drosophila melanogaster (fruit fly)","4/602","33/3549",0.835877360072812,0.835877360072812,0.880217785759922,"43576/39666/47220/44451",4
"dme00220","Metabolism","Amino acid metabolism","dme00220","Arginine biosynthesis - Drosophila melanogaster (fruit fly)","2/602","18/3549",0.835927389676184,0.835927389676184,0.880217785759922,"33172/36396",2
"dme00760","Metabolism","Metabolism of cofactors and vitamins","dme00760","Nicotinate and nicotinamide metabolism - Drosophila melanogaster (fruit fly)","2/602","18/3549",0.835927389676184,0.835927389676184,0.880217785759922,"38315/32822",2
"dme00910","Metabolism","Energy metabolism","dme00910","Nitrogen metabolism - Drosophila melanogaster (fruit fly)","2/602","18/3549",0.835927389676184,0.835927389676184,0.880217785759922,"33172/41238",2
"dme00520","Metabolism","Carbohydrate metabolism","dme00520","Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)","6/602","48/3549",0.847934577518386,0.847934577518386,0.880217785759922,"33903/33026/35923/43504/3354921/43373",6
"dme03040","Genetic Information Processing","Transcription","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","20/602","144/3549",0.869450880733371,0.869450880733371,0.880217785759922,"36304/42593/34080/36306/34608/40739/40529/31840/38062/3346235/33982/38756/37372/41670/47457/53443/33967/38093/40064/31707",20
"dme03020","Genetic Information Processing","Transcription","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","3/602","30/3549",0.905234297282374,0.905234297282374,0.880217785759922,"33712/41741/40325",3
"dme00511","Metabolism","Glycan biosynthesis and metabolism","dme00511","Other glycan degradation - Drosophila melanogaster (fruit fly)","2/602","22/3549",0.908658850795973,0.908658850795973,0.880217785759922,"34835/41457",2
"dme03440","Genetic Information Processing","Replication and repair","dme03440","Homologous recombination - Drosophila melanogaster (fruit fly)","2/602","23/3549",0.921406926559158,0.921406926559158,0.880217785759922,"31565/44259",2
"dme03013","Genetic Information Processing","Translation","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","12/602","99/3549",0.929883355337111,0.929883355337111,0.880217785759922,"35762/38721/39666/3354919/7354429/38332/44437/35336/317878/31195/40581/38675",12
"dme01200","Metabolism","Global and overview maps","dme01200","Carbon metabolism - Drosophila melanogaster (fruit fly)","15/602","121/3549",0.935977876188544,0.935977876188544,0.880217785759922,"3772542/39555/40348/39985/35692/36060/43936/41869/33351/39281/33431/39132/42621/33459/31185",15
"dme00650","Metabolism","Carbohydrate metabolism","dme00650","Butanoate metabolism - Drosophila melanogaster (fruit fly)","1/602","15/3549",0.938838318691908,0.938838318691908,0.880217785759922,"38484",1
"dme00062","Metabolism","Lipid metabolism","dme00062","Fatty acid elongation - Drosophila melanogaster (fruit fly)","1/602","16/3549",0.949256918620451,0.949256918620451,0.880217785759922,"34313",1
"dme00053","Metabolism","Carbohydrate metabolism","dme00053","Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)","3/602","35/3549",0.951485590162457,0.951485590162457,0.880217785759922,"34256/35138/44058",3
"dme00260","Metabolism","Amino acid metabolism","dme00260","Glycine, serine and threonine metabolism - Drosophila melanogaster (fruit fly)","2/602","27/3549",0.957461420860024,0.957461420860024,0.880217785759922,"33431/33081",2
"dme00640","Metabolism","Carbohydrate metabolism","dme00640","Propanoate metabolism - Drosophila melanogaster (fruit fly)","2/602","27/3549",0.957461420860024,0.957461420860024,0.880217785759922,"40348/41869",2
"dme00900","Metabolism","Metabolism of terpenoids and polyketides","dme00900","Terpenoid backbone biosynthesis - Drosophila melanogaster (fruit fly)","2/602","27/3549",0.957461420860024,0.957461420860024,0.880217785759922,"36908/33682",2
"dme01212","Metabolism","Global and overview maps","dme01212","Fatty acid metabolism - Drosophila melanogaster (fruit fly)","5/602","53/3549",0.960053331171713,0.960053331171713,0.880217785759922,"36109/3355111/41629/33524/34313",5
"dme00051","Metabolism","Carbohydrate metabolism","dme00051","Fructose and mannose metabolism - Drosophila melanogaster (fruit fly)","2/602","29/3549",0.968908127063855,0.968908127063855,0.880217785759922,"40204/36060",2
"dme00860","Metabolism","Metabolism of cofactors and vitamins","dme00860","Porphyrin metabolism - Drosophila melanogaster (fruit fly)","4/602","47/3549",0.969639440997323,0.969639440997323,0.880217785759922,"46415/35138/44058/31845",4
"dme00983","Metabolism","Xenobiotics biodegradation and metabolism","dme00983","Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)","10/602","94/3549",0.96981667091432,0.96981667091432,0.880217785759922,"42894/43240/43739/35138/41503/39392/44058/48337/48338/37106",10
"dme00982","Metabolism","Xenobiotics biodegradation and metabolism","dme00982","Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)","6/602","66/3549",0.977766123166712,0.977766123166712,0.880217785759922,"35138/41503/44058/48337/48338/37106",6
"dme00040","Metabolism","Carbohydrate metabolism","dme00040","Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)","4/602","50/3549",0.979546853792979,0.979546853792979,0.880217785759922,"35692/35138/44058/32880",4
"dme00380","Metabolism","Amino acid metabolism","dme00380","Tryptophan metabolism - Drosophila melanogaster (fruit fly)","1/602","21/3549",0.980071021991849,0.980071021991849,0.880217785759922,"34256",1
"dme00730","Metabolism","Metabolism of cofactors and vitamins","dme00730","Thiamine metabolism - Drosophila melanogaster (fruit fly)","1/602","21/3549",0.980071021991849,0.980071021991849,0.880217785759922,"3772427",1
"dme03420","Genetic Information Processing","Replication and repair","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","4/602","51/3549",0.982107703574637,0.982107703574637,0.880217785759922,"7354403/41741/36654/39688",4
"dme00980","Metabolism","Xenobiotics biodegradation and metabolism","dme00980","Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)","6/602","68/3549",0.982459468269171,0.982459468269171,0.880217785759922,"35138/41503/44058/48337/48338/37106",6
"dme00830","Metabolism","Metabolism of cofactors and vitamins","dme00830","Retinol metabolism - Drosophila melanogaster (fruit fly)","2/602","33/3549",0.983567916983542,0.983567916983542,0.880217785759922,"35138/44058",2
"dme00190","Metabolism","Energy metabolism","dme00190","Oxidative phosphorylation - Drosophila melanogaster (fruit fly)","16/602","146/3549",0.98543406161402,0.98543406161402,0.880217785759922,"3355155/38521/41550/5740185/43442/36826/45012/39761/42759/34996/42291/40679/39926/46069/31342/34997",16
"dme00330","Metabolism","Amino acid metabolism","dme00330","Arginine and proline metabolism - Drosophila melanogaster (fruit fly)","4/602","53/3549",0.986347954874608,0.986347954874608,0.880217785759922,"40434/43640/326113/34256",4
"dme01040","Metabolism","Lipid metabolism","dme01040","Biosynthesis of unsaturated fatty acids - Drosophila melanogaster (fruit fly)","1/602","25/3549",0.990574249531203,0.990574249531203,0.880217785759922,"41629",1
"dme04136","Cellular Processes","Transport and catabolism","dme04136","Autophagy - other - Drosophila melanogaster (fruit fly)","1/602","25/3549",0.990574249531203,0.990574249531203,0.880217785759922,"40998",1
"dme00270","Metabolism","Amino acid metabolism","dme00270","Cysteine and methionine metabolism - Drosophila melanogaster (fruit fly)","2/602","37/3549",0.991420387948509,0.991420387948509,0.880217785759922,"32297/33081",2
"dme04146","Cellular Processes","Transport and catabolism","dme04146","Peroxisome - Drosophila melanogaster (fruit fly)","8/602","91/3549",0.99201843521044,0.99201843521044,0.880217785759922,"5740152/3771756/36860/42074/42751/43772/38205/32296",8
"dme00981","Metabolism","Metabolism of terpenoids and polyketides","dme00981","Insect hormone biosynthesis - Drosophila melanogaster (fruit fly)","1/602","27/3549",0.993519937957347,0.993519937957347,0.880217785759922,"34256",1
"dme00790","Metabolism","Metabolism of cofactors and vitamins","dme00790","Folate biosynthesis - Drosophila melanogaster (fruit fly)","2/602","40/3549",0.994765407731456,0.994765407731456,0.880217785759922,"39238/30973",2
"dme03050","Genetic Information Processing","Folding, sorting and degradation","dme03050","Proteasome - Drosophila melanogaster (fruit fly)","3/602","53/3549",0.996525159481083,0.996525159481083,0.880217785759922,"40174/37910/39855",3
"dme00020","Metabolism","Carbohydrate metabolism","dme00020","Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)","2/602","43/3549",0.996822209718277,0.996822209718277,0.880217785759922,"39281/37131",2
"dme01210",NA,NA,"dme01210","2-Oxocarboxylic acid metabolism - Drosophila melanogaster (fruit fly)","1/602","36/3549",0.998803248872865,0.998803248872865,0.880217785759922,"32297",1
"dme01240","Metabolism","Global and overview maps","dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","11/602","138/3549",0.999416277373018,0.999416277373018,0.880217785759922,"41279/32297/39238/46234/43739/30973/34256/35138/40936/44058/40988",11
"dme00970","Genetic Information Processing","Translation","dme00970","Aminoacyl-tRNA biosynthesis - Drosophila melanogaster (fruit fly)","1/602","64/3549",0.999993939932028,0.999993939932028,0.880217785759922,"40929",1
