"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme00240","Metabolism","Nucleotide metabolism","dme00240","Pyrimidine metabolism - Drosophila melanogaster (fruit fly)","8/807","38/3549",0.660667882962584,0.660667882962584,0.894736842098188,"33510/43240/36968/42894/43739/33495/40675/32640",8
"dme03015","Genetic Information Processing","Translation","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","17/807","80/3549",0.668934811189523,0.668934811189523,0.894736842098188,"34286/42922/37493/117365/317878/39919/44148/37070/34658/43944/32587/43087/43312/33968/3354919/47877/35788",17
"dme03018","Genetic Information Processing","Folding, sorting and degradation","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","12/807","58/3549",0.69581538675376,0.69581538675376,0.894736842098188,"39957/33351/37372/34548/42813/42900/48782/37070/31795/42880/32574/32665",12
"dme00410","Metabolism","Metabolism of other amino acids","dme00410","beta-Alanine metabolism - Drosophila melanogaster (fruit fly)","5/807","25/3549",0.703719191529116,0.703719191529116,0.894736842098188,"34256/41869/33898/38484/40675",5
"dme04146","Cellular Processes","Transport and catabolism","dme04146","Peroxisome - Drosophila melanogaster (fruit fly)","19/807","91/3549",0.705316974658657,0.705316974658657,0.894736842098188,"32582/43772/36128/40615/42074/38205/36029/41894/42751/3771756/2768725/38994/35228/33898/37986/32296/5740152/39652/36860",19
"dme03040","Genetic Information Processing","Transcription","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","30/807","144/3549",0.741683084071615,0.741683084071615,0.894736842098188,"36304/35654/44920/40785/31707/3346235/40064/36619/40781/37372/32282/47457/48581/38173/41670/33235/33982/38756/32587/36306/33513/34608/40529/53443/38093/43862/38062/31840/53444/34080",30
"dme00450","Metabolism","Metabolism of other amino acids","dme00450","Selenocompound metabolism - Drosophila melanogaster (fruit fly)","2/807","11/3549",0.752312120252432,0.752312120252432,0.894736842098188,"31760/37143",2
"dme00270","Metabolism","Amino acid metabolism","dme00270","Cysteine and methionine metabolism - Drosophila melanogaster (fruit fly)","7/807","37/3549",0.76978665308056,0.76978665308056,0.894736842098188,"45880/53581/37139/33081/32297/36510/37143",7
"dme04142","Cellular Processes","Transport and catabolism","dme04142","Lysosome - Drosophila melanogaster (fruit fly)","25/807","124/3549",0.788008692011055,0.788008692011055,0.894736842098188,"41150/39137/32987/33330/31842/43442/34450/45268/31647/42835/42095/37877/45467/31902/38022/46386/42216/31342/34997/246520/36865/44307/42096/43223/34211",25
"dme00071","Metabolism","Lipid metabolism","dme00071","Fatty acid degradation - Drosophila melanogaster (fruit fly)","6/807","33/3549",0.795098724168636,0.795098724168636,0.894736842098188,"34256/38355/34313/33898/34316/41311",6
"dme00670","Metabolism","Metabolism of cofactors and vitamins","dme00670","One carbon pool by folate - Drosophila melanogaster (fruit fly)","2/807","12/3549",0.795459395722718,0.795459395722718,0.894736842098188,"41279/42973",2
"dme00620","Metabolism","Carbohydrate metabolism","dme00620","Pyruvate metabolism - Drosophila melanogaster (fruit fly)","9/807","49/3549",0.816361795722984,0.816361795722984,0.894736842098188,"42621/39281/45880/34256/43936/37131/36510/41311/3772542",9
"dme00061","Metabolism","Lipid metabolism","dme00061","Fatty acid biosynthesis - Drosophila melanogaster (fruit fly)","2/807","13/3549",0.831816356655657,0.831816356655657,0.894736842098188,"3355111/33524",2
"dme04136","Cellular Processes","Transport and catabolism","dme04136","Autophagy - other - Drosophila melanogaster (fruit fly)","4/807","25/3549",0.853884389757388,0.853884389757388,0.894736842098188,"40998/50253/31543/37141",4
"dme03082","Genetic Information Processing","Chromosome","dme03082","ATP-dependent chromatin remodeling - Drosophila melanogaster (fruit fly)","15/807","82/3549",0.866870068306294,0.866870068306294,0.894736842098188,"43819/35526/36956/40092/40693/32166/50403/40170/42130/32769/41151/53439/41072/36390/31521",15
"dme03460","Genetic Information Processing","Replication and repair","dme03460","Fanconi anemia pathway - Drosophila melanogaster (fruit fly)","4/807","26/3549",0.874965779932764,0.874965779932764,0.894736842098188,"31565/40438/35895/35796",4
"dme01230","Metabolism","Global and overview maps","dme01230","Biosynthesis of amino acids - Drosophila melanogaster (fruit fly)","12/807","68/3549",0.878714895275268,0.878714895275268,0.894736842098188,"42621/39132/33351/35692/33081/32297/42626/33459/37143/43183/33172/2768965",12
"dme00513","Metabolism","Glycan biosynthesis and metabolism","dme00513","Various types of N-glycan biosynthesis - Drosophila melanogaster (fruit fly)","5/807","32/3549",0.884247075088358,0.884247075088358,0.894736842098188,"34137/38374/2768916/43563/39608",5
"dme00590","Metabolism","Lipid metabolism","dme00590","Arachidonic acid metabolism - Drosophila melanogaster (fruit fly)","2/807","15/3549",0.887536147585069,0.887536147585069,0.894736842098188,"39160/31747",2
"dme00730","Metabolism","Metabolism of cofactors and vitamins","dme00730","Thiamine metabolism - Drosophila melanogaster (fruit fly)","3/807","21/3549",0.888118639860319,0.888118639860319,0.894736842098188,"39396/3772427/41417",3
"dme00480","Metabolism","Metabolism of other amino acids","dme00480","Glutathione metabolism - Drosophila melanogaster (fruit fly)","14/807","79/3549",0.889773985933311,0.889773985933311,0.894736842098188,"31994/326187/37108/42801/53581/37113/37106/246386/43444/31185/32216/42557/48337/41503",14
"dme00260","Metabolism","Amino acid metabolism","dme00260","Glycine, serine and threonine metabolism - Drosophila melanogaster (fruit fly)","4/807","27/3549",0.893365068004967,0.893365068004967,0.894736842098188,"33081/42626/33431/37143",4
"dme00640","Metabolism","Carbohydrate metabolism","dme00640","Propanoate metabolism - Drosophila melanogaster (fruit fly)","4/807","27/3549",0.893365068004967,0.893365068004967,0.894736842098188,"45880/41869/33898/36510",4
"dme00350","Metabolism","Amino acid metabolism","dme00350","Tyrosine metabolism - Drosophila melanogaster (fruit fly)","3/807","22/3549",0.906456689371494,0.906456689371494,0.894736842098188,"246620/41133/41311",3
"dme00052","Metabolism","Carbohydrate metabolism","dme00052","Galactose metabolism - Drosophila melanogaster (fruit fly)","5/807","35/3549",0.926381112891958,0.926381112891958,0.894736842098188,"42220/35923/44010/39305/34597",5
"dme03013","Genetic Information Processing","Translation","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","17/807","99/3549",0.931948043390046,0.931948043390046,0.894736842098188,"39394/44437/32630/39666/7354429/38675/317878/43944/35512/33859/38332/43736/3354919/36271/35762/35336/40581",17
"dme03410","Genetic Information Processing","Replication and repair","dme03410","Base excision repair - Drosophila melanogaster (fruit fly)","4/807","30/3549",0.935055213582008,0.935055213582008,0.894736842098188,"43796/42322/117294/3355109",4
"dme00220","Metabolism","Amino acid metabolism","dme00220","Arginine biosynthesis - Drosophila melanogaster (fruit fly)","2/807","18/3549",0.939851789297679,0.939851789297679,0.894736842098188,"36396/33172",2
"dme01040","Metabolism","Lipid metabolism","dme01040","Biosynthesis of unsaturated fatty acids - Drosophila melanogaster (fruit fly)","3/807","25/3549",0.946285905899208,0.946285905899208,0.894736842098188,"32582/33898/41629",3
"dme00280","Metabolism","Amino acid metabolism","dme00280","Valine, leucine and isoleucine degradation - Drosophila melanogaster (fruit fly)","4/807","32/3549",0.95397104550836,0.95397104550836,0.894736842098188,"34256/41869/34313/32297",4
"dme00630","Metabolism","Carbohydrate metabolism","dme00630","Glyoxylate and dicarboxylate metabolism - Drosophila melanogaster (fruit fly)","4/807","33/3549",0.961392372686495,0.961392372686495,0.894736842098188,"31960/33431/33172/39985",4
"dme00380","Metabolism","Amino acid metabolism","dme00380","Tryptophan metabolism - Drosophila melanogaster (fruit fly)","2/807","21/3549",0.968487135109292,0.968487135109292,0.894736842098188,"34256/32026",2
"dme01212","Metabolism","Global and overview maps","dme01212","Fatty acid metabolism - Drosophila melanogaster (fruit fly)","7/807","53/3549",0.972960895976399,0.972960895976399,0.894736842098188,"32582/38355/3355111/34313/33898/33524/41629",7
"dme00051","Metabolism","Carbohydrate metabolism","dme00051","Fructose and mannose metabolism - Drosophila melanogaster (fruit fly)","3/807","29/3549",0.975236162530143,0.975236162530143,0.894736842098188,"39305/40599/43183",3
"dme00982","Metabolism","Xenobiotics biodegradation and metabolism","dme00982","Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)","9/807","66/3549",0.978441014529216,0.978441014529216,0.894736842098188,"37108/37113/37106/246386/35138/41311/48337/44058/41503",9
"dme00531","Metabolism","Glycan biosynthesis and metabolism","dme00531","Glycosaminoglycan degradation - Drosophila melanogaster (fruit fly)","1/807","15/3549",0.979316295463633,0.979316295463633,0.894736842098188,"46386",1
"dme00650","Metabolism","Carbohydrate metabolism","dme00650","Butanoate metabolism - Drosophila melanogaster (fruit fly)","1/807","15/3549",0.979316295463633,0.979316295463633,0.894736842098188,"38484",1
"dme00983","Metabolism","Xenobiotics biodegradation and metabolism","dme00983","Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)","14/807","94/3549",0.97938633869209,0.97938633869209,0.894736842098188,"37108/37113/33510/41894/37106/43240/246386/42894/43739/35138/40675/48337/44058/41503",14
"dme03440","Genetic Information Processing","Replication and repair","dme03440","Homologous recombination - Drosophila melanogaster (fruit fly)","2/807","23/3549",0.979705410774601,0.979705410774601,0.894736842098188,"44259/31565",2
"dme00980","Metabolism","Xenobiotics biodegradation and metabolism","dme00980","Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)","9/807","68/3549",0.98386225061758,0.98386225061758,0.894736842098188,"37108/37113/37106/246386/35138/41311/48337/44058/41503",9
"dme00062","Metabolism","Lipid metabolism","dme00062","Fatty acid elongation - Drosophila melanogaster (fruit fly)","1/807","16/3549",0.984039484360308,0.984039484360308,0.894736842098188,"34313",1
"dme00830","Metabolism","Metabolism of cofactors and vitamins","dme00830","Retinol metabolism - Drosophila melanogaster (fruit fly)","3/807","33/3549",0.988938973056779,0.988938973056779,0.894736842098188,"35138/41311/44058",3
"dme01200","Metabolism","Global and overview maps","dme01200","Carbon metabolism - Drosophila melanogaster (fruit fly)","18/807","121/3549",0.989296504277418,0.989296504277418,0.894736842098188,"42621/39281/39132/33351/43936/35692/41869/42626/39899/33898/31185/33459/33431/41311/43183/39555/39985/3772542",18
"dme03022","Genetic Information Processing","Transcription","dme03022","Basal transcription factors - Drosophila melanogaster (fruit fly)","4/807","40/3549",0.98936573160426,0.98936573160426,0.894736842098188,"40934/7354403/34430/31773",4
"dme00330","Metabolism","Amino acid metabolism","dme00330","Arginine and proline metabolism - Drosophila melanogaster (fruit fly)","6/807","53/3549",0.989745081445346,0.989745081445346,0.894736842098188,"43624/34256/5740402/326113/43640/40434",6
"dme00785","Metabolism","Metabolism of cofactors and vitamins","dme00785","Lipoic acid metabolism - Drosophila melanogaster (fruit fly)","1/807","18/3549",0.990498876925174,0.990498876925174,0.894736842098188,"39899",1
"dme00981","Metabolism","Metabolism of terpenoids and polyketides","dme00981","Insect hormone biosynthesis - Drosophila melanogaster (fruit fly)","2/807","27/3549",0.991728768605957,0.991728768605957,0.894736842098188,"34256/3355165",2
"dme03430","Genetic Information Processing","Replication and repair","dme03430","Mismatch repair - Drosophila melanogaster (fruit fly)","1/807","19/3549",0.992670331561647,0.992670331561647,0.894736842098188,"35796",1
"dme00053","Metabolism","Carbohydrate metabolism","dme00053","Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)","3/807","35/3549",0.992680193665451,0.992680193665451,0.894736842098188,"34256/35138/44058",3
