"";"seqnames";"start";"end";"width";"strand";"peakNames"
"38";"2L";"13100603";"13100865";"263";"*";"gr_m_luteus__14015"
"39";"2L";"13135984";"13136329";"346";"*";"gr_m_luteus__5330"
"40";"2L";"13570718";"13571055";"338";"*";"gr_m_luteus__13631"
"41";"2L";"13964749";"13965072";"324";"*";"gr_m_luteus__3347"
"42";"2L";"14245376";"14245649";"274";"*";"gr_m_luteus__13154"
"43";"2L";"14590611";"14590872";"262";"*";"gr_m_luteus__11910"
"44";"2L";"14713416";"14713844";"429";"*";"gr_m_luteus__10999"
"45";"2L";"16286049";"16286319";"271";"*";"gr_m_luteus__458"
"46";"2L";"16468989";"16469268";"280";"*";"gr_m_luteus__1215"
"47";"2L";"16627317";"16627604";"288";"*";"gr_m_luteus__13097"
"48";"2L";"16639407";"16639898";"492";"*";"gr_m_luteus__13103"
"49";"2L";"18623499";"18623810";"312";"*";"gr_m_luteus__5417"
"50";"2L";"18629099";"18629427";"329";"*";"gr_m_luteus__5414"
"51";"2L";"18976951";"18977262";"312";"*";"gr_m_luteus__5448"
"52";"2L";"19462928";"19463209";"282";"*";"gr_m_luteus__309"
"53";"2L";"20313176";"20313437";"262";"*";"gr_m_luteus__783"
"54";"2L";"20317350";"20317732";"383";"*";"gr_m_luteus__12667"
"55";"2L";"20792543";"20792863";"321";"*";"gr_m_luteus__13092"
"56";"2L";"20915131";"20915394";"264";"*";"gr_m_luteus__5554"
"57";"2L";"21209098";"21209369";"272";"*";"gr_m_luteus__3021"
"58";"2L";"21283888";"21284149";"262";"*";"gr_m_luteus__9564"
"59";"2L";"21379951";"21380212";"262";"*";"gr_m_luteus__5582"
"60";"2L";"22131233";"22131646";"414";"*";"gr_m_luteus__12340"
"61";"2L";"22143894";"22144198";"305";"*";"gr_m_luteus__10982"
"62";"2R";"1209997";"1210281";"285";"*";"gr_m_luteus__11190"
"63";"2R";"5941652";"5941930";"279";"*";"gr_m_luteus__13074"
"64";"2R";"6061913";"6062211";"299";"*";"gr_m_luteus__5614"
"65";"2R";"6115451";"6115727";"277";"*";"gr_m_luteus__231"
"66";"2R";"6116669";"6116931";"263";"*";"gr_m_luteus__232"
"67";"2R";"6166717";"6167076";"360";"*";"gr_m_luteus__1695"
"68";"2R";"6713440";"6713706";"267";"*";"gr_m_luteus__5637"
"69";"2R";"6798129";"6798402";"274";"*";"gr_m_luteus__11126"
"70";"2R";"6965104";"6965405";"302";"*";"gr_m_luteus__10914"
"71";"2R";"7010658";"7011453";"796";"*";"gr_m_luteus__3634"
"72";"2R";"7370511";"7370874";"364";"*";"gr_m_luteus__5656"
"73";"2R";"7379385";"7379877";"493";"*";"gr_m_luteus__5661"
"74";"2R";"7456614";"7456921";"308";"*";"gr_m_luteus__2959"
"75";"2R";"7620727";"7621028";"302";"*";"gr_m_luteus__13313"
"76";"2R";"7663650";"7664082";"433";"*";"gr_m_luteus__5692"
"77";"2R";"7773876";"7774206";"331";"*";"gr_m_luteus__13802"
"78";"2R";"7800481";"7800756";"276";"*";"gr_m_luteus__5706"
"79";"2R";"7983899";"7984328";"430";"*";"gr_m_luteus__5719"
"80";"2R";"8084293";"8084617";"325";"*";"gr_m_luteus__2852"
"81";"2R";"8604584";"8605177";"594";"*";"gr_m_luteus__14450"
"82";"2R";"9189643";"9190192";"550";"*";"gr_m_luteus__13764"
"83";"2R";"9282485";"9282793";"309";"*";"gr_m_luteus__13823"
"84";"2R";"9439876";"9440149";"274";"*";"gr_m_luteus__3583"
"85";"2R";"9550739";"9551012";"274";"*";"gr_m_luteus__12712"
"86";"2R";"10007051";"10007382";"332";"*";"gr_m_luteus__12656"
"87";"2R";"10733902";"10734227";"326";"*";"gr_m_luteus__5879"
"88";"2R";"10871235";"10871537";"303";"*";"gr_m_luteus__9796"
"89";"2R";"11072379";"11072699";"321";"*";"gr_m_luteus__12303"
"90";"2R";"11252111";"11252372";"262";"*";"gr_m_luteus__5905"
"91";"2R";"11762366";"11762717";"352";"*";"gr_m_luteus__5934"
"92";"2R";"11842965";"11843269";"305";"*";"gr_m_luteus__5940"
"93";"2R";"12474164";"12474530";"367";"*";"gr_m_luteus__5980"
"94";"2R";"12648524";"12648865";"342";"*";"gr_m_luteus__5990"
"95";"2R";"13432524";"13432841";"318";"*";"gr_m_luteus__1720"
"96";"2R";"13481760";"13482048";"289";"*";"gr_m_luteus__52"
"97";"2R";"13937283";"13937612";"330";"*";"gr_m_luteus__6063"
"98";"2R";"14003209";"14003514";"306";"*";"gr_m_luteus__12629"
"99";"2R";"14519085";"14519639";"555";"*";"gr_m_luteus__6114"
"100";"2R";"14531246";"14531625";"380";"*";"gr_m_luteus__13482"
"101";"2R";"14995946";"14996232";"287";"*";"gr_m_luteus__12863"
"102";"2R";"15046585";"15046848";"264";"*";"gr_m_luteus__12688"
"103";"2R";"15096086";"15096357";"272";"*";"gr_m_luteus__13316"
"104";"2R";"15330563";"15330884";"322";"*";"gr_m_luteus__13256"
"105";"2R";"15896908";"15897373";"466";"*";"gr_m_luteus__10736"
"106";"2R";"16095553";"16095819";"267";"*";"gr_m_luteus__6187"
"107";"2R";"16639961";"16640374";"414";"*";"gr_m_luteus__9427"
"108";"2R";"17101219";"17101515";"297";"*";"gr_m_luteus__9955"
"109";"2R";"17404234";"17404573";"340";"*";"gr_m_luteus__6250"
"110";"2R";"18244840";"18245101";"262";"*";"gr_m_luteus__13291"
"111";"2R";"18666390";"18666803";"414";"*";"gr_m_luteus__10682"
"112";"2R";"19036887";"19037208";"322";"*";"gr_m_luteus__6353"
"113";"2R";"19301069";"19301358";"290";"*";"gr_m_luteus__11252"
"114";"2R";"19732027";"19732318";"292";"*";"gr_m_luteus__10733"
"115";"2R";"19776369";"19776637";"269";"*";"gr_m_luteus__6377"
"116";"2R";"20827580";"20827849";"270";"*";"gr_m_luteus__2265"
"117";"2R";"21193307";"21193631";"325";"*";"gr_m_luteus__6441"
"118";"2R";"21249675";"21250055";"381";"*";"gr_m_luteus__6444"
"119";"2R";"21656807";"21657071";"265";"*";"gr_m_luteus__12848"
"120";"2R";"22077623";"22077922";"300";"*";"gr_m_luteus__10926"
"121";"2R";"22194254";"22194718";"465";"*";"gr_m_luteus__11192"
"122";"2R";"22596926";"22597199";"274";"*";"gr_m_luteus__13960"
"123";"2R";"23328956";"23329300";"345";"*";"gr_m_luteus__9940"
"124";"2R";"23443104";"23443365";"262";"*";"gr_m_luteus__12850"
"125";"2R";"24146604";"24146919";"316";"*";"gr_m_luteus__2304"
"126";"2R";"24281725";"24282064";"340";"*";"gr_m_luteus__1195"
"127";"2R";"24373908";"24374187";"280";"*";"gr_m_luteus__10756"
"128";"2R";"24903045";"24903332";"288";"*";"gr_m_luteus__10907"
"129";"2R";"24957170";"24957742";"573";"*";"gr_m_luteus__13542"
"130";"2R";"25002796";"25003184";"389";"*";"gr_m_luteus__13240"
"131";"3L";"105192";"105566";"375";"*";"gr_m_luteus__9451"
"132";"3L";"123924";"124300";"377";"*";"gr_m_luteus__13994"
"133";"3L";"266108";"266378";"271";"*";"gr_m_luteus__11038"
"134";"3L";"559338";"559763";"426";"*";"gr_m_luteus__14193"
"135";"3L";"733289";"733645";"357";"*";"gr_m_luteus__12841"
"136";"3L";"886254";"886551";"298";"*";"gr_m_luteus__12573"
"137";"3L";"891179";"891888";"710";"*";"gr_m_luteus__12563"
"138";"3L";"1319286";"1319669";"384";"*";"gr_m_luteus__1271"
"139";"3L";"2493479";"2493840";"362";"*";"gr_m_luteus__6830"
"140";"3L";"2503561";"2503822";"262";"*";"gr_m_luteus__6831"
"141";"3L";"2692347";"2692698";"352";"*";"gr_m_luteus__12968"
"142";"3L";"2885127";"2885398";"272";"*";"gr_m_luteus__13360"
"143";"3L";"3082829";"3083215";"387";"*";"gr_m_luteus__890"
"144";"3L";"3131205";"3131530";"326";"*";"gr_m_luteus__3004"
"145";"3L";"3242138";"3242573";"436";"*";"gr_m_luteus__6875"
"146";"3L";"3341704";"3341979";"276";"*";"gr_m_luteus__935"
"147";"3L";"3388348";"3388773";"426";"*";"gr_m_luteus__14148"
"148";"3L";"3455365";"3455660";"296";"*";"gr_m_luteus__3023"
"149";"3L";"3690496";"3690786";"291";"*";"gr_m_luteus__12589"
"150";"3L";"3845786";"3846048";"263";"*";"gr_m_luteus__1848"
"151";"3L";"3920555";"3920828";"274";"*";"gr_m_luteus__1147"
"152";"3L";"3942245";"3942531";"287";"*";"gr_m_luteus__3237"
"153";"3L";"4073764";"4074026";"263";"*";"gr_m_luteus__2184"
"154";"3L";"4119129";"4119492";"364";"*";"gr_m_luteus__6923"
"155";"3L";"4148393";"4148777";"385";"*";"gr_m_luteus__6924"
"156";"3L";"4468992";"4469277";"286";"*";"gr_m_luteus__10365"
"157";"3L";"4988365";"4988632";"268";"*";"gr_m_luteus__14131"
"158";"3L";"6612614";"6612909";"296";"*";"gr_m_luteus__7024"
"159";"3L";"7158022";"7158304";"283";"*";"gr_m_luteus__9481"
"160";"3L";"7357929";"7358328";"400";"*";"gr_m_luteus__7047"
"161";"3L";"7498349";"7498725";"377";"*";"gr_m_luteus__7055"
"162";"3L";"7841606";"7841889";"284";"*";"gr_m_luteus__2220"
"163";"3L";"7852355";"7852671";"317";"*";"gr_m_luteus__2222"
"164";"3L";"8287656";"8287936";"281";"*";"gr_m_luteus__3255"
"165";"3L";"8702869";"8703154";"286";"*";"gr_m_luteus__13347"
"166";"3L";"9615620";"9616020";"401";"*";"gr_m_luteus__14163"
"167";"3L";"9733018";"9733342";"325";"*";"gr_m_luteus__12631"
"168";"3L";"10392368";"10392893";"526";"*";"gr_m_luteus__13927"
"169";"3L";"10741157";"10741447";"291";"*";"gr_m_luteus__12344"
"170";"3L";"10779518";"10779779";"262";"*";"gr_m_luteus__13367"
"171";"3L";"11135823";"11136157";"335";"*";"gr_m_luteus__10293"
"172";"3L";"11532926";"11533312";"387";"*";"gr_m_luteus__7260"
"173";"3L";"11548068";"11548364";"297";"*";"gr_m_luteus__12658"
"174";"3L";"12258748";"12259009";"262";"*";"gr_m_luteus__11753"
"175";"3L";"12929201";"12929487";"287";"*";"gr_m_luteus__10311"
"176";"3L";"13454750";"13455026";"277";"*";"gr_m_luteus__7347"
"177";"3L";"13863322";"13863659";"338";"*";"gr_m_luteus__7356"
"178";"3L";"14362046";"14362350";"305";"*";"gr_m_luteus__7383"
"179";"3L";"14445485";"14445754";"270";"*";"gr_m_luteus__14334"
"180";"3L";"14737316";"14737592";"277";"*";"gr_m_luteus__7395"
"181";"3L";"14782401";"14782677";"277";"*";"gr_m_luteus__7402"
"182";"3L";"15232903";"15233310";"408";"*";"gr_m_luteus__3592"
"183";"3L";"15853476";"15853770";"295";"*";"gr_m_luteus__10315"
"184";"3L";"16181652";"16181921";"270";"*";"gr_m_luteus__14154"
"185";"3L";"16428893";"16429243";"351";"*";"gr_m_luteus__10690"
"186";"3L";"16474560";"16474869";"310";"*";"gr_m_luteus__1039"
"187";"3L";"16476323";"16476676";"354";"*";"gr_m_luteus__1040"
"188";"3L";"16692251";"16692535";"285";"*";"gr_m_luteus__13866"
"189";"3L";"16822065";"16822341";"277";"*";"gr_m_luteus__7524"
"190";"3L";"16886568";"16886846";"279";"*";"gr_m_luteus__14234"
"191";"3L";"17003491";"17003840";"350";"*";"gr_m_luteus__12133"
"192";"3L";"17133597";"17133897";"301";"*";"gr_m_luteus__12519"
"193";"3L";"17633188";"17633485";"298";"*";"gr_m_luteus__13377"
"194";"3L";"18008769";"18009070";"302";"*";"gr_m_luteus__11227"
"195";"3L";"18014416";"18014711";"296";"*";"gr_m_luteus__11236"
"196";"3L";"19088255";"19088593";"339";"*";"gr_m_luteus__7655"
"197";"3L";"20535384";"20535645";"262";"*";"gr_m_luteus__7747"
"198";"3L";"20725115";"20725376";"262";"*";"gr_m_luteus__12959"
"199";"3L";"20850550";"20850832";"283";"*";"gr_m_luteus__7765"
"200";"3L";"21049415";"21049738";"324";"*";"gr_m_luteus__3000"
"201";"3L";"21381279";"21381958";"680";"*";"gr_m_luteus__11812"
"202";"3L";"22321238";"22321616";"379";"*";"gr_m_luteus__10479"
"203";"3L";"22601782";"22602205";"424";"*";"gr_m_luteus__7832"
"204";"3R";"5078299";"5078608";"310";"*";"gr_m_luteus__1301"
"205";"3R";"5262518";"5262822";"305";"*";"gr_m_luteus__7905"
"206";"3R";"5290220";"5290593";"374";"*";"gr_m_luteus__7907"
"207";"3R";"5611003";"5611362";"360";"*";"gr_m_luteus__2278"
"208";"3R";"5611657";"5612214";"558";"*";"gr_m_luteus__2280"
"209";"3R";"5641299";"5641711";"413";"*";"gr_m_luteus__7945"
"210";"3R";"6402868";"6403173";"306";"*";"gr_m_luteus__7977"
"211";"3R";"6403968";"6404346";"379";"*";"gr_m_luteus__7976"
"212";"3R";"6724135";"6724464";"330";"*";"gr_m_luteus__10118"
"213";"3R";"7102867";"7103252";"386";"*";"gr_m_luteus__14238"
"214";"3R";"7103533";"7103839";"307";"*";"gr_m_luteus__14239"
"215";"3R";"7219853";"7220325";"473";"*";"gr_m_luteus__7991"
"216";"3R";"7497291";"7497720";"430";"*";"gr_m_luteus__11871"
"217";"3R";"7498474";"7498735";"262";"*";"gr_m_luteus__7998"
"218";"3R";"7893835";"7894192";"358";"*";"gr_m_luteus__11590"
"219";"3R";"7962751";"7963012";"262";"*";"gr_m_luteus__210"
"220";"3R";"8028497";"8028761";"265";"*";"gr_m_luteus__400"
"221";"3R";"8070504";"8070785";"282";"*";"gr_m_luteus__11212"
"222";"3R";"8672162";"8672519";"358";"*";"gr_m_luteus__8054"
"223";"3R";"9028038";"9028386";"349";"*";"gr_m_luteus__570"
"224";"3R";"9122913";"9123226";"314";"*";"gr_m_luteus__8111"
"225";"3R";"9969180";"9969515";"336";"*";"gr_m_luteus__8176"
"226";"3R";"10080607";"10081080";"474";"*";"gr_m_luteus__13729"
"227";"3R";"10390199";"10390615";"417";"*";"gr_m_luteus__11565"
"228";"3R";"10493909";"10494170";"262";"*";"gr_m_luteus__14069"
"229";"3R";"11285350";"11285621";"272";"*";"gr_m_luteus__10091"
"230";"3R";"12002590";"12002990";"401";"*";"gr_m_luteus__8294"
"231";"3R";"12370580";"12371024";"445";"*";"gr_m_luteus__14333"
"232";"3R";"12443715";"12444114";"400";"*";"gr_m_luteus__11320"
"233";"3R";"12553547";"12553828";"282";"*";"gr_m_luteus__12182"
"234";"3R";"12686508";"12686791";"284";"*";"gr_m_luteus__409"
"235";"3R";"12716469";"12716802";"334";"*";"gr_m_luteus__555"
"236";"3R";"13019391";"13019748";"358";"*";"gr_m_luteus__2409"
"237";"3R";"13464721";"13465047";"327";"*";"gr_m_luteus__12164"
"238";"3R";"14007246";"14007583";"338";"*";"gr_m_luteus__8362"
"239";"3R";"14294384";"14294679";"296";"*";"gr_m_luteus__8386"
"240";"3R";"14479814";"14480174";"361";"*";"gr_m_luteus__11368"
"241";"3R";"14480397";"14480669";"273";"*";"gr_m_luteus__11371"
"242";"3R";"15087118";"15087395";"278";"*";"gr_m_luteus__8417"
"243";"3R";"15088060";"15088344";"285";"*";"gr_m_luteus__8418"
"244";"3R";"15293986";"15294287";"302";"*";"gr_m_luteus__13906"
"245";"3R";"15497819";"15498090";"272";"*";"gr_m_luteus__8456"
"246";"3R";"16347227";"16347970";"744";"*";"gr_m_luteus__8492"
"247";"3R";"17044909";"17045170";"262";"*";"gr_m_luteus__13529"
"248";"3R";"17678985";"17679311";"327";"*";"gr_m_luteus__8560"
"249";"3R";"18108543";"18108877";"335";"*";"gr_m_luteus__10058"
"250";"3R";"18590836";"18591159";"324";"*";"gr_m_luteus__12781"
"251";"3R";"18849143";"18849503";"361";"*";"gr_m_luteus__8632"
"252";"3R";"19321945";"19322302";"358";"*";"gr_m_luteus__195"
"253";"3R";"19568887";"19569408";"522";"*";"gr_m_luteus__10887"
"254";"3R";"19571295";"19571556";"262";"*";"gr_m_luteus__10888"
"255";"3R";"19628111";"19628911";"801";"*";"gr_m_luteus__10984"
"256";"3R";"19830187";"19830528";"342";"*";"gr_m_luteus__1922"
"257";"3R";"20032615";"20032913";"299";"*";"gr_m_luteus__8685"
"258";"3R";"20083052";"20083419";"368";"*";"gr_m_luteus__683"
"259";"3R";"20593911";"20594405";"495";"*";"gr_m_luteus__2585"
"260";"3R";"20789557";"20789826";"270";"*";"gr_m_luteus__8713"
"261";"3R";"20836812";"20837573";"762";"*";"gr_m_luteus__10664"
"262";"3R";"21059221";"21059513";"293";"*";"gr_m_luteus__1591"
"263";"3R";"21094352";"21094626";"275";"*";"gr_m_luteus__8727"
"264";"3R";"21113595";"21113870";"276";"*";"gr_m_luteus__2153"
"265";"3R";"21152994";"21153264";"271";"*";"gr_m_luteus__12856"
"266";"3R";"21598609";"21598870";"262";"*";"gr_m_luteus__12715"
"267";"3R";"21895523";"21895816";"294";"*";"gr_m_luteus__12879"
"268";"3R";"22127944";"22128275";"332";"*";"gr_m_luteus__10029"
"269";"3R";"22140717";"22141041";"325";"*";"gr_m_luteus__10030"
"270";"3R";"22586722";"22587038";"317";"*";"gr_m_luteus__1975"
"271";"3R";"23316878";"23317276";"399";"*";"gr_m_luteus__14404"
"272";"3R";"23320226";"23320731";"506";"*";"gr_m_luteus__14396"
"273";"3R";"23744519";"23744780";"262";"*";"gr_m_luteus__14406"
"274";"3R";"23833858";"23834155";"298";"*";"gr_m_luteus__944"
"275";"3R";"24008138";"24008541";"404";"*";"gr_m_luteus__10038"
"276";"3R";"24021215";"24021522";"308";"*";"gr_m_luteus__2443"
"277";"3R";"24551182";"24551551";"370";"*";"gr_m_luteus__1660"
"278";"3R";"24949364";"24949731";"368";"*";"gr_m_luteus__8935"
"279";"3R";"25094497";"25094896";"400";"*";"gr_m_luteus__1142"
"280";"3R";"25244934";"25245245";"312";"*";"gr_m_luteus__69"
"281";"3R";"26010486";"26011527";"1042";"*";"gr_m_luteus__530"
"282";"3R";"26125806";"26126255";"450";"*";"gr_m_luteus__14373"
"283";"3R";"26882766";"26883075";"310";"*";"gr_m_luteus__968"
"284";"3R";"26896164";"26896589";"426";"*";"gr_m_luteus__971"
"285";"3R";"26914384";"26914669";"286";"*";"gr_m_luteus__2091"
"286";"3R";"26919776";"26920088";"313";"*";"gr_m_luteus__2093"
"287";"3R";"27134767";"27135106";"340";"*";"gr_m_luteus__9029"
"288";"3R";"27596848";"27597498";"651";"*";"gr_m_luteus__9042"
"289";"3R";"27600225";"27600486";"262";"*";"gr_m_luteus__9043"
"290";"3R";"27946294";"27946680";"387";"*";"gr_m_luteus__9061"
"291";"3R";"29124511";"29124800";"290";"*";"gr_m_luteus__9102"
"292";"3R";"29292224";"29292562";"339";"*";"gr_m_luteus__9116"
"293";"3R";"29671329";"29671792";"464";"*";"gr_m_luteus__9124"
"294";"3R";"29717027";"29717323";"297";"*";"gr_m_luteus__9127"
"295";"3R";"29768897";"29769181";"285";"*";"gr_m_luteus__14429"
"296";"3R";"29777205";"29777503";"299";"*";"gr_m_luteus__14428"
"297";"3R";"30200477";"30200749";"273";"*";"gr_m_luteus__9176"
"298";"3R";"30326033";"30326427";"395";"*";"gr_m_luteus__11061"
"299";"3R";"30587238";"30587499";"262";"*";"gr_m_luteus__9191"
"300";"3R";"30716779";"30717096";"318";"*";"gr_m_luteus__9194"
"301";"3R";"31064990";"31065278";"289";"*";"gr_m_luteus__2729"
"302";"3R";"31647593";"31647854";"262";"*";"gr_m_luteus__9235"
"303";"X";"247268";"247588";"321";"*";"gr_m_luteus__9390"
"304";"X";"713530";"713935";"406";"*";"gr_m_luteus__2474"
"305";"X";"777327";"777607";"281";"*";"gr_m_luteus__11263"
"306";"X";"1278514";"1278850";"337";"*";"gr_m_luteus__3455"
"307";"X";"1944069";"1944341";"273";"*";"gr_m_luteus__12954"
"308";"X";"2049230";"2049536";"307";"*";"gr_m_luteus__2893"
"309";"X";"2051379";"2051729";"351";"*";"gr_m_luteus__2894"
"310";"X";"2244675";"2245020";"346";"*";"gr_m_luteus__2654"
"311";"X";"2281458";"2281719";"262";"*";"gr_m_luteus__11088"
"312";"X";"2318400";"2318934";"535";"*";"gr_m_luteus__10820"
"313";"X";"2349582";"2350230";"649";"*";"gr_m_luteus__645"
"314";"X";"2355925";"2356221";"297";"*";"gr_m_luteus__646"
"315";"X";"2512790";"2513080";"291";"*";"gr_m_luteus__12617"
"316";"X";"2742881";"2743211";"331";"*";"gr_m_luteus__2800"
"317";"X";"3328787";"3329221";"435";"*";"gr_m_luteus__3673"
"318";"X";"3371384";"3371664";"281";"*";"gr_m_luteus__12256"
"319";"X";"3835911";"3836185";"275";"*";"gr_m_luteus__3693"
"320";"X";"5613196";"5613568";"373";"*";"gr_m_luteus__11165"
"321";"X";"5699898";"5700164";"267";"*";"gr_m_luteus__3755"
"322";"X";"5761066";"5761417";"352";"*";"gr_m_luteus__1878"
"323";"X";"5893007";"5893494";"488";"*";"gr_m_luteus__14127"
"324";"X";"5912444";"5912721";"278";"*";"gr_m_luteus__13062"
"325";"X";"5943714";"5943985";"272";"*";"gr_m_luteus__3783"
"326";"X";"5978660";"5979001";"342";"*";"gr_m_luteus__3786"
"327";"X";"6041178";"6041445";"268";"*";"gr_m_luteus__3791"
"328";"X";"6604024";"6604695";"672";"*";"gr_m_luteus__3831"
"329";"X";"6876523";"6876853";"331";"*";"gr_m_luteus__12796"
"330";"X";"6932894";"6933158";"265";"*";"gr_m_luteus__3860"
"331";"X";"7357372";"7357633";"262";"*";"gr_m_luteus__3901"
"332";"X";"7513894";"7514233";"340";"*";"gr_m_luteus__12868"
"333";"X";"7612298";"7612601";"304";"*";"gr_m_luteus__953"
"334";"X";"8418279";"8418602";"324";"*";"gr_m_luteus__12372"
"335";"X";"8444109";"8444465";"357";"*";"gr_m_luteus__3967"
"336";"X";"8581916";"8582185";"270";"*";"gr_m_luteus__3977"
"337";"X";"9345722";"9346017";"296";"*";"gr_m_luteus__11168"
"338";"X";"9480359";"9480626";"268";"*";"gr_m_luteus__11814"
"339";"X";"9863192";"9863460";"269";"*";"gr_m_luteus__2317"
"340";"X";"9884249";"9884548";"300";"*";"gr_m_luteus__4047"
"341";"X";"9887112";"9887498";"387";"*";"gr_m_luteus__4048"
"342";"X";"10229365";"10229626";"262";"*";"gr_m_luteus__4056"
"343";"X";"10484726";"10484988";"263";"*";"gr_m_luteus__10591"
"344";"X";"10547612";"10548074";"463";"*";"gr_m_luteus__4070"
"345";"X";"10557217";"10557519";"303";"*";"gr_m_luteus__4068"
"346";"X";"10891317";"10891608";"292";"*";"gr_m_luteus__14094"
"347";"X";"11126140";"11126509";"370";"*";"gr_m_luteus__3484"
"348";"X";"11233377";"11233660";"284";"*";"gr_m_luteus__4106"
"349";"X";"11855916";"11856239";"324";"*";"gr_m_luteus__4158"
"350";"X";"11893756";"11894083";"328";"*";"gr_m_luteus__11717"
"351";"X";"11916146";"11916548";"403";"*";"gr_m_luteus__11452"
"352";"X";"12693641";"12693957";"317";"*";"gr_m_luteus__4201"
"353";"X";"13277628";"13277947";"320";"*";"gr_m_luteus__9555"
"354";"X";"13394830";"13395169";"340";"*";"gr_m_luteus__13416"
"355";"X";"14016956";"14017217";"262";"*";"gr_m_luteus__1749"
"356";"X";"14222670";"14222945";"276";"*";"gr_m_luteus__4285"
"357";"X";"15500568";"15500999";"432";"*";"gr_m_luteus__13597"
"358";"X";"15575702";"15575972";"271";"*";"gr_m_luteus__11486"
"359";"X";"16063481";"16063792";"312";"*";"gr_m_luteus__4383"
"360";"X";"16430623";"16430966";"344";"*";"gr_m_luteus__3089"
"361";"X";"16798241";"16798529";"289";"*";"gr_m_luteus__4414"
"362";"X";"17122486";"17122753";"268";"*";"gr_m_luteus__11699"
"363";"X";"17287511";"17287787";"277";"*";"gr_m_luteus__4447"
"364";"X";"17287951";"17288212";"262";"*";"gr_m_luteus__4443"
"365";"X";"17625182";"17625507";"326";"*";"gr_m_luteus__4455"
"366";"X";"18405066";"18405340";"275";"*";"gr_m_luteus__10543"
"367";"X";"18654517";"18654830";"314";"*";"gr_m_luteus__4514"
"368";"X";"18913887";"18914171";"285";"*";"gr_m_luteus__13452"
"369";"X";"18980283";"18980592";"310";"*";"gr_m_luteus__12819"
"370";"X";"20500959";"20501347";"389";"*";"gr_m_luteus__4634"
"371";"X";"21119411";"21119675";"265";"*";"gr_m_luteus__13271"
"372";"X";"22712597";"22712901";"305";"*";"gr_m_luteus__13064"
"373";"X";"22811402";"22812149";"748";"*";"gr_m_luteus__4672"
